fileid,audiopath,prev,next,time,emotion,transcription
Ses02F_impro01_M019,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M019.wav,Ses02F_impro01_M018,Ses02F_impro01_F019,164.5945 - 166.9199,ang,"You know, Official documentation--"
Ses02F_impro01_M020,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M020.wav,Ses02F_impro01_F019,Ses02F_impro01_F020,167.9301 - 173.4579,fru,"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--"
Ses02F_impro01_M021,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M021.wav,Ses02F_impro01_F020,Ses02F_impro01_F021,175.6255 - 182.0081,fru,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?"
Ses02F_impro01_M022,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M022.wav,Ses02F_impro01_F021,Ses02F_impro01_M023,190.9820 - 195.9117,fru,"All right.  Well, um, you know, I'd love to help you, but--nothing I can do."
Ses02F_impro01_M023,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M023.wav,Ses02F_impro01_M022,Ses02F_impro01_F022,195.9319 - 204.2806,fru,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know."
Ses02F_impro01_M024,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M024.wav,Ses02F_impro01_F022,Ses02F_impro01_F023,204.7828 - 208.4711,fru,I am the supervisor.  So--
Ses02F_script02_2_F000,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F000.wav,Ses02F_script02_2_M000,Ses02F_script02_2_M001,6.3300 - 7.7200,neu,About what?
Ses02F_script02_2_F001,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F001.wav,Ses02F_script02_2_M001,Ses02F_script02_2_M002,9.5015 - 11.2600,fru,It's ridiculous.
Ses02F_script02_2_F002,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F002.wav,Ses02F_script02_2_M002,Ses02F_script02_2_M003,14.8100 - 21.4500,xxx,It's PR.  Somebody sold you a bill of goods that this wonderful event is gonna take place on the beach.
Ses02F_script02_2_F003,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F003.wav,Ses02F_script02_2_M003,Ses02F_script02_2_M004,22.9600 - 34.9800,xxx,"Sure, everybody's told the same story.  It keeps us all excited.  It keeps us coming back for more.  It keeps us thinking that life is gonna start any second now if we could just find the right spot and get in on the action."
Ses02F_script02_2_F004,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F004.wav,Ses02F_script02_2_M004,Ses02F_script02_2_M005,36.0100 - 38.9700,xxx,"Well, I'm sorry, but it's still just fish to me."
Ses02F_script02_2_F005,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F005.wav,Ses02F_script02_2_M005,Ses02F_script02_2_M006,45.2100 - 52.6500,ang,"God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting."
Ses02F_script02_2_F006,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F006.wav,Ses02F_script02_2_M006,Ses02F_script02_2_M007,53.2000 - 57.7000,ang,We just have different ideas of what this evening is supposed to look like.
Ses02F_script02_2_F007,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F007.wav,Ses02F_script02_2_M007,Ses02F_script02_2_M008,67.3100 - 70.9800,fru,"For heaven sake, we're not going to see the grunions."
Ses02F_script02_2_F008,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F008.wav,Ses02F_script02_2_M008,Ses02F_script02_2_M009,71.7500 - 75.2300,fru,"We never do, do we?  I mean, have we ever?"
Ses02F_script02_2_F009,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F009.wav,Ses02F_script02_2_M009,Ses02F_script02_2_M010,76.8900 - 79.7300,fru,Twice is every time we've tried. That's ever.
Ses02F_script02_2_F010,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F010.wav,Ses02F_script02_2_M010,Ses02F_script02_2_F011,80.7700 - 86.1500,fru,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus."
Ses02F_script02_2_F011,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F011.wav,Ses02F_script02_2_F010,Ses02F_script02_2_M011,86.1600 - 99.7100,ang,"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up."
Ses02F_script02_2_F012,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F012.wav,Ses02F_script02_2_M011,Ses02F_script02_2_M012,101.2800 - 103.8100,fru,You don't understand anything I'm saying.
Ses02F_script02_2_F013,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F013.wav,Ses02F_script02_2_M012,Ses02F_script02_2_M013,104.9300 - 111.9000,fru,I did want to see it.  I always do.  I keep thinking that this is gonna be the time and it never is.
Ses02F_script02_2_F014,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F014.wav,Ses02F_script02_2_M013,Ses02F_script02_2_M014,113.2500 - 116.2300,xxx,"For heaven sake, this isn't about fish."
Ses02F_script02_2_F015,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F015.wav,Ses02F_script02_2_M017,Ses02F_script02_2_F016,143.6900 - 149.7200,sad,"Do you remember the first time we came to see it?  It was about four years ago, right after we got married."
Ses02F_script02_2_F016,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F016.wav,Ses02F_script02_2_F015,Ses02F_script02_2_F017,149.7400 - 159.7600,sad,"I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork."
Ses02F_script02_2_F017,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F017.wav,Ses02F_script02_2_F016,Ses02F_script02_2_F018,159.7833 - 169.3200,sad,"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them."
Ses02F_script02_2_F018,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F018.wav,Ses02F_script02_2_F017,Ses02F_script02_2_M018,169.3400 - 178.1700,sad,"And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be."
Ses02F_script02_2_F019,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F019.wav,Ses02F_script02_2_M018,Ses02F_script02_2_M019,178.7800 - 183.3300,sad,"Just dancing barefoot in the sand, drinking champagne out of the bottle."
Ses02F_script02_2_F020,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F020.wav,Ses02F_script02_2_M020,Ses02F_script02_2_M021,196.7300 - 202.0100,sad,I'd rather not remember some things.  I would rather not hope for some things.
Ses02F_script02_2_F021,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F021.wav,Ses02F_script02_2_M021,Ses02F_script02_2_M022,206.4100 - 207.5500,sad,No.
Ses02F_script02_2_F022,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F022.wav,Ses02F_script02_2_M022,Ses02F_script02_2_M023,208.7400 - 209.7200,sad,No.
Ses02F_script02_2_F023,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F023.wav,Ses02F_script02_2_M023,Ses02F_script02_2_M024,210.6800 - 211.8300,xxx,No. No.
Ses02F_script02_2_F024,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F024.wav,Ses02F_script02_2_M024,Ses02F_script02_2_M025,213.2000 - 214.0700,sad,No.
Ses02F_script02_2_F025,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F025.wav,Ses02F_script02_2_M025,Ses02F_script02_2_M026,215.2100 - 216.2000,fru,No.
Ses02F_script02_2_F026,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F026.wav,Ses02F_script02_2_M026,Ses02F_script02_2_M027,217.4100 - 218.6800,fru,No.
Ses02F_script02_2_F027,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F027.wav,Ses02F_script02_2_M027,Ses02F_script02_2_M028,218.9300 - 220.1400,fru,No.
Ses02F_script02_2_F028,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F028.wav,Ses02F_script02_2_M028,Ses02F_script02_2_M029,225.5700 - 229.1700,xxx,I want something to turn out the way that it's supposed to.
Ses02F_script02_2_F029,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F029.wav,Ses02F_script02_2_M032,Ses02F_script02_2_M033,269.0000 - 274.0600,xxx,This.  What?  What is this?  This isn't even anything.
Ses02F_script02_2_F030,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F030.wav,Ses02F_script02_2_M033,Ses02F_script02_2_M034,274.8500 - 280.4500,xxx,"Uh, right this is standing on the beach.  This is waiting.  This is fighting."
Ses02F_script02_2_F031,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F031.wav,Ses02F_script02_2_M034,Ses02F_script02_2_M035,281.5765 - 286.6000,sad,Well.  This isn't anything like I thought anything would be like.
Ses02F_script02_2_F032,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F032.wav,Ses02F_script02_2_M035,Ses02F_script02_2_M036,288.2400 - 302.7400,xxx,"I mean, this is just this.  It includes a lot and everything, but it isn't something else.  Do you have any idea what I'm trying to say?"
Ses02F_script02_2_F033,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F033.wav,Ses02F_script02_2_M036,Ses02F_script02_2_F034,305.3800 - 308.7200,sad,"I know that, Augie.  Really, I do."
Ses02F_script02_2_F034,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F034.wav,Ses02F_script02_2_F033,Ses02F_script02_2_M037,308.7500 - 324.1000,sad,"I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else."
Ses02F_script02_2_F035,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F035.wav,Ses02F_script02_2_M037,Ses02F_script02_2_M038,327.1500 - 328.7700,sad,I didn't say that.
Ses02F_script02_2_F036,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F036.wav,Ses02F_script02_2_M038,Ses02F_script02_2_M039,332.8400 - 337.1400,xxx,"Oh, for heaven sake, whatever I'm doing, I'd rather be doing it with you."
Ses02F_script02_2_F037,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F037.wav,Ses02F_script02_2_M039,Ses02F_script02_2_F038,338.7300 - 341.9900,xxx,"Oh, don't be ridiculous.  I mean, don't you know that?"
Ses02F_script02_2_F038,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F038.wav,Ses02F_script02_2_F037,Ses02F_script02_2_M040,342.0800 - 350.2000,sad,You're the one who probably wishes you were with someone else.  Someone who--you'd rather enjoy yourself and didn't take everything so hard.
Ses02F_script02_2_F039,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F039.wav,Ses02F_script02_2_M040,Ses02F_script02_2_M041,357.0600 - 364.8300,xxx,"Okay.  Fine so.  We're in the wrong spot, but we're with the right person."
Ses02F_script02_2_F040,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F040.wav,Ses02F_script02_2_M041,Ses02F_script02_2_M042,370.6400 - 377.7300,xxx,"Yeah, I noticed that.  Looks pretty, doesn't it?  Big ol' white moon."
Ses02F_script02_2_F041,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F041.wav,Ses02F_script02_2_M042,Ses02F_script02_2_M043,379.8700 - 382.7600,hap,"Augie, you brought refreshments."
Ses02F_script02_2_F042,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F042.wav,Ses02F_script02_2_M043,Ses02F_script02_2_M044,383.7000 - 387.6000,hap,"Well, then we don't need glasses."
Ses02F_script02_2_F043,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F043.wav,Ses02F_script02_2_M044,Ses02F_script02_2_F044,393.4100 - 402.2600,hap,No.  I think you might be right.  Maybe this is the spot after all.
Ses02F_script02_2_F044,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F044.wav,Ses02F_script02_2_F043,Ses02F_script02_2_M045,405.9300 - 408.2600,sad,"Augie, I'm sorry."
Ses02F_script02_2_F045,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F045.wav,Ses02F_script02_2_M045,Ses02F_script02_2_M046,412.1500 - 413.9200,hap,Or not.
Ses02F_script02_2_M000,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M000.wav,,Ses02F_script02_2_F000,4.2700 - 6.3631,exc,"Well, so what do you think?"
Ses02F_script02_2_M001,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M001.wav,Ses02F_script02_2_F000,Ses02F_script02_2_F001,7.7600 - 9.0700,neu,What I was saying.
Ses02F_script02_2_M002,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M002.wav,Ses02F_script02_2_F001,Ses02F_script02_2_F002,11.4400 - 15.5300,neu,It certainly is not.  It's slightly exaggerated scientific fact.
Ses02F_script02_2_M003,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M003.wav,Ses02F_script02_2_F002,Ses02F_script02_2_F003,21.2400 - 23.6600,neu,"Well, I'm not the only one.  Look at all these people."
Ses02F_script02_2_M004,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M004.wav,Ses02F_script02_2_F003,Ses02F_script02_2_F004,34.6900 - 36.9000,xxx,Are we talking about the same thing?
Ses02F_script02_2_M005,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M005.wav,Ses02F_script02_2_F004,Ses02F_script02_2_F005,38.7300 - 45.5600,neu,"Carla, can I ask you something?  Don't take this wrong, but are you having your period?"
Ses02F_script02_2_M006,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M006.wav,Ses02F_script02_2_F005,Ses02F_script02_2_F006,51.7900 - 53.5100,fru,"Well, what's bugging you?"
Ses02F_script02_2_M007,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M007.wav,Ses02F_script02_2_F006,Ses02F_script02_2_F007,57.5500 - 67.7200,neu,"There's nothing to it.  We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish.  They go home. We go home."
Ses02F_script02_2_M008,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M008.wav,Ses02F_script02_2_F007,Ses02F_script02_2_F008,70.6700 - 72.0900,fru,Why not?
Ses02F_script02_2_M009,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M009.wav,Ses02F_script02_2_F008,Ses02F_script02_2_F009,75.0400 - 77.4500,neu,We've missed them twice.  That's not ever.
Ses02F_script02_2_M010,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M010.wav,Ses02F_script02_2_F009,Ses02F_script02_2_F010,79.4000 - 81.1300,neu,"Well, we'll see them this year."
Ses02F_script02_2_M011,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M011.wav,Ses02F_script02_2_F011,Ses02F_script02_2_F012,99.6700 - 101.5000,fru,I thought you wanted to see it.
Ses02F_script02_2_M012,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M012.wav,Ses02F_script02_2_F012,Ses02F_script02_2_F013,103.5800 - 105.1700,fru,"No, of course not."
Ses02F_script02_2_M013,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M013.wav,Ses02F_script02_2_F013,Ses02F_script02_2_F014,111.4600 - 114.7500,neu,It's just fish.  Nothing to get traumatized about.
Ses02F_script02_2_M014,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M014.wav,Ses02F_script02_2_F014,Ses02F_script02_2_M015,115.9200 - 124.0800,fru,"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst."
Ses02F_script02_2_M015,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M015.wav,Ses02F_script02_2_M014,Ses02F_script02_2_M016,124.1000 - 134.0900,xxx,"I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news."
Ses02F_script02_2_M016,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M016.wav,Ses02F_script02_2_M015,Ses02F_script02_2_M017,134.1000 - 138.8100,neu,"You said, ""Hey the grunion are running tonight.""  I said, ""Great, let's go.  I feel lucky."""
Ses02F_script02_2_M017,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M017.wav,Ses02F_script02_2_M016,Ses02F_script02_2_F015,138.8600 - 144.9200,neu,"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--"
Ses02F_script02_2_M018,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M018.wav,Ses02F_script02_2_F018,Ses02F_script02_2_F019,177.5600 - 179.3800,neu,Wait a minute.  I've got it.
Ses02F_script02_2_M019,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M019.wav,Ses02F_script02_2_F019,Ses02F_script02_2_M020,183.1800 - 192.2200,neu,"It was in the car, right?  Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?"
Ses02F_script02_2_M020,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M020.wav,Ses02F_script02_2_M019,Ses02F_script02_2_F020,192.2500 - 197.0700,neu,"Yeah, of course, I see it now.  You want this to be like that other time, right?  That's it, right?"
Ses02F_script02_2_M021,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M021.wav,Ses02F_script02_2_F020,Ses02F_script02_2_F021,201.3200 - 206.7400,neu,"Okay, yeah, sure, I see it now.  Listen, you wanna dance?"
Ses02F_script02_2_M022,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M022.wav,Ses02F_script02_2_F021,Ses02F_script02_2_F022,207.5100 - 209.4900,neu,You want me to go get some champagne?
Ses02F_script02_2_M023,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M023.wav,Ses02F_script02_2_F022,Ses02F_script02_2_F023,209.5700 - 211.3200,neu,Take off our shoes?
Ses02F_script02_2_M024,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M024.wav,Ses02F_script02_2_F023,Ses02F_script02_2_F024,211.3900 - 213.9400,fru,"Well, what?  You want me to breathe in your ear?"
Ses02F_script02_2_M025,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M025.wav,Ses02F_script02_2_F024,Ses02F_script02_2_F025,213.9900 - 215.8600,fru,You wanna get married again?
Ses02F_script02_2_M026,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M026.wav,Ses02F_script02_2_F025,Ses02F_script02_2_F026,215.9000 - 218.3600,fru,What?  What?  You want a divorce?
Ses02F_script02_2_M027,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M027.wav,Ses02F_script02_2_F026,Ses02F_script02_2_F027,218.4100 - 219.7400,fru,A vacation?
Ses02F_script02_2_M028,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M028.wav,Ses02F_script02_2_F027,Ses02F_script02_2_F028,219.7500 - 226.5400,fru,"A new carpet?  A poodle?  Ice cream?  Back rub?  A suicide pact?  What?  What?  Carla, what the hell do you want?"
Ses02F_script02_2_M029,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M029.wav,Ses02F_script02_2_F028,Ses02F_script02_2_M030,228.2000 - 238.9600,ang,"Well, welcome to the human race.  Do you think this is what I had in mind when I proposed?  That four years down the road, we'd be at the beach yelling at each other over fish?"
Ses02F_script02_2_M030,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M030.wav,Ses02F_script02_2_M029,Ses02F_script02_2_M031,239.3100 - 250.8600,xxx,"No.  You think I knew that there'd be times when you'd look at me like a used Kleenex?  Or that I'd look at you and think, holy hell, when's the next flight to Alaska?"
Ses02F_script02_2_M031,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M031.wav,Ses02F_script02_2_M030,Ses02F_script02_2_M032,250.8900 - 266.4300,sad,"No, Carla, I'm just like you.  I thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us"
Ses02F_script02_2_M032,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M032.wav,Ses02F_script02_2_M031,Ses02F_script02_2_F029,266.4400 - 269.3900,fru,"'cause you know what you get, Carla?  You know what you get?  This."
Ses02F_script02_2_M033,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M033.wav,Ses02F_script02_2_F029,Ses02F_script02_2_F030,273.8200 - 275.0800,neu,"Yes, it is."
Ses02F_script02_2_M034,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M034.wav,Ses02F_script02_2_F030,Ses02F_script02_2_F031,280.1300 - 281.2200,neu,Right.
Ses02F_script02_2_M035,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M035.wav,Ses02F_script02_2_F031,Ses02F_script02_2_F032,286.3300 - 288.2900,sad,"I know, me neither."
Ses02F_script02_2_M036,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M036.wav,Ses02F_script02_2_F032,Ses02F_script02_2_F033,302.9300 - 305.0600,sad,I'm doing the best I can.
Ses02F_script02_2_M037,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M037.wav,Ses02F_script02_2_F034,Ses02F_script02_2_F035,325.0600 - 327.9300,sad,Maybe if you were with somebody else too.
Ses02F_script02_2_M038,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M038.wav,Ses02F_script02_2_F035,Ses02F_script02_2_F036,328.3800 - 333.7100,sad,"No, I know.  But still.  I know I don't make you happy."
Ses02F_script02_2_M039,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M039.wav,Ses02F_script02_2_F036,Ses02F_script02_2_F037,337.8400 - 339.0300,sur,Yeah?
Ses02F_script02_2_M040,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M040.wav,Ses02F_script02_2_F038,Ses02F_script02_2_F039,350.5661 - 355.2400,xxx,"Well, now that you mention it.  No, I don't."
Ses02F_script02_2_M041,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M041.wav,Ses02F_script02_2_F039,Ses02F_script02_2_F040,364.8100 - 370.5600,hap,"I don't know.  It seemed like a pretty good spot to me.  I mean, look at the view you have of the moon from here."
Ses02F_script02_2_M042,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M042.wav,Ses02F_script02_2_F040,Ses02F_script02_2_F041,378.2800 - 380.2100,hap,"Well, look what we have here."
Ses02F_script02_2_M043,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M043.wav,Ses02F_script02_2_F041,Ses02F_script02_2_F042,382.4300 - 384.0800,hap,It's not champagne.
Ses02F_script02_2_M044,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M044.wav,Ses02F_script02_2_F042,Ses02F_script02_2_F043,388.8800 - 392.0800,xxx,You still cold?  Do you wanna go home?
Ses02F_script02_2_M045,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M045.wav,Ses02F_script02_2_F044,Ses02F_script02_2_F045,407.0800 - 411.6900,hap,Shh.  If we're very quiet the fish might come.
Ses02F_script02_2_M046,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M046.wav,Ses02F_script02_2_F045,,414.0500 - 415.6400,hap,Or not.
Ses02F_impro02_F000,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F000.wav,,Ses02F_impro02_M000,8.9084 - 11.9078,sad,It's almost time for me to go.
Ses02F_impro02_F001,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F001.wav,Ses02F_impro02_M000,Ses02F_impro02_M001,18.3682 - 24.3889,sad,"There's nothing I can do.  I mean, the government you know--"
Ses02F_impro02_F002,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F002.wav,Ses02F_impro02_M001,Ses02F_impro02_M002,30.6582 - 37.9405,sad,"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can."
Ses02F_impro02_F003,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F003.wav,Ses02F_impro02_M002,Ses02F_impro02_M003,46.8146 - 49.4112,sad,I don't think so.
Ses02F_impro02_F004,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F004.wav,Ses02F_impro02_M003,Ses02F_impro02_F005,63.2468 - 75.4222,sad,"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile."
Ses02F_impro02_F005,./IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F005.wav,Ses02F_impro02_F004,Ses02F_impro02_M004,75.4413 - 78.5568,sad,You could send me pictures.
